Date,Place,Street,Railroad,Description
27/01/16 19:41,"HOUSTON, TEXAS",LYONS AVE,Union Pacific Railroad Company,"TRESPASSER ATTEMPTED TO ROLL UNDER THE TRAIN (10TH POSITION) WHILE ON THE CROSSING. TRESPASSER ROLLED OUT OF THE TRAIN AND INDICATED HE WAS NOT INJURED, THEN LEFT THE SCENE WITH NO CONTACT INFORMATION PROVIDED."
27/01/16 18:26,"SANFORD, FLORIDA",CR 15,Central Florida Rail Corridor,P32527 WAS OPERATING SOUTHBOUND ON #1 TRACK STRUCK A VEHICLE AT CR 15 ( MONROE STREET). NO INJURY REPORTED.
27/01/16 12:55,MICHIGAN,WILLIS RD.,Amtrak (National Railroad Passenger Corporation),"TRAIN 353 OPERATING WITH LOCOMOTIVES E/37-E/32 AND 5 CARS STRUCK AN OCCUPIED VEHICLE AT MP 66.00, WILLIS RD CROSSING."
27/01/16 9:43,"BILLINGSLEY, ALABAMA",COUNTY ROAD 37,Autauga Northern Railroad LLC,THE AUT 408 WAS TRAVELING NORTH AT APPROX. 24 MPH WHEN THEY CALLIDED WITH A LOG TRUCK STOPPED ON THE CROSSING AT MP 145.6 AT 9:43AM
27/01/16 9:30,"WILMINGTON, NORTH CAROLINA",SW CAROLINA MARINE,Wilmington Terminal Railroad Incorporated,LOCOMOTIVE STRUCK EMPTY CEMENT TRUCK LEAVING CMT. LOCO WENT INTO EMERGENCY BEFORE STRIKING THE TRUCK - TRAVELING 104' PAST CROSSING AFTER STRIKING THE TRUCK. POLICE/PARAMEDICS CITED DRIVER OF TRUCK HAD STROKE OR SEIZURE CAUSING LOSS OF CONSCIOUSNESS
26/01/16 19:15,ILLINOIS,RIVER ROAD,BNSF Railway Company,41: UNOCCUPIED VEHICLE
26/01/16 18:20,"WOODLAND, CALIFORNIA",CROSS ST,California Northern Railroad Company,"A TRAIN CREW WAS SHOVING ACROSS THE CROSSING AND THE CONDUCTOR WAS FLAGGING THE CROSSING TO PROVIDEPROTECTING, AS THE TRAIN ENTERED THE CROSSING THE MOTORIST FAILED TO STOP SHORT OF THE CROSSING. ASA RESULT THE ENGINEER PLACED THE TRAIN IN EMERGENCY AND STRUCK THE VEHICLE ON THE CROSSING."
26/01/16 14:25,"FORT LUPTON, COLORADO",14TH ST.,Union Pacific Railroad Company,HIGHWAY USER WENT AROUND THE ACTIVATED GATES.
26/01/16 14:20,"NORWALK, CONNECTICUT",BOAT YARD,Metro North Commuter Railroad Company,OPERATOR PULLED UP TO PRIVATE CROSSING PROCEEDED TO DRIVE ACROSS CROSSING SAW TRAIN AND ACCELERATEDTO TRY AND AVOID BRING HIT. LEFT REAR QUARTERPANEL WAS STRUCK BY FIREMANS SIDE OF PLOW ON THE 126 CAUSING CARS TO SPIN OUT.
26/01/16 9:34,NEBRASKA,19TH ROAD,Union Pacific Railroad Company,#32 WARNING DEVICES: YIELD SIGN
25/01/16 20:59,"POMPANO BEACH, FLORIDA",N. E. 10TH STREET,Florida East Coast Railway Company,TRAIN STRUCK VEHICLE THAT WAS STOPPED ON THE CROSSING. DRIVER EXITED VEHICLE PRIOR TO IMPACT. NO PERSONAL INJURIES WERE SUSTAINED.
25/01/16 14:00,"WALLA WALLA, WASHINGTON",W. CHERRY STREET,Palouse River & Coulee City Railroad Inc.,"NO INJURIES. APPROXIMATELY 1400 HRS, COLFAX LOCAL WAS TRAVELING SOUTH AT APPROXIMATELY 8 MPH. AN AUTOMOBILE TRAVELING EAST BOUND FAILED TO STOP AT W. CHERRY ST. CROSSING THAT WAS BEING OCCUPIED BY A TRAIN WITH ALL WARNING DEVICES ACTIVATED. AUTOMOBILE IMPACTED THE LEFT FRONT OF THE LOCOMOTIVES. ENGINEER THOUGHT HE FELT SOMETHING AS HE WAS BLOWING THE CROSSING. WHEN HE LOOKED BACK IN MIRROR HE HADSEEN A VEHICLE TRAVELING IN REVERSE TURNING AROUND LEAVING THE SCENE. AT THIS TIME HE COULD SEE THAT"
25/01/16 13:00,"JONESBORO, GEORGIA",SR 138/JONESBORO BYP,Norfolk Southern Corporation,NS TRAIN 140G825 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
25/01/16 11:20,"N/A, NEW YORK",PRIVATE,Norfolk Southern Corporation,NS TRAIN 28NH724 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
25/01/16 10:37,"N/A, WEST VIRGINIA",PRIVATE,Norfolk Southern Corporation,NS TRAIN 272U222 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
25/01/16 4:13,"WEST PALM BEACH, FLORIDA",FOREST HILL BLVD,South Florida Regional Transit Authority,"OPERATOR OF HIGHWAY VEHICLE DROVE THRU THE CROSSING GATES AND STOPPED ON THE TRACKS. ENGINEER PLACED THE TRAIN IN EMERGENCY AND CLIPPED THE REAR OF THE VEHICLE, PUSHING IT OFF THE TRACKS. CROSSING WARNING SYSTEM WAS FUNCTIONING AS INTENDED."
25/01/16 2:36,"MARTINSBURG, WEST VIRGINIA",VANCLEVESVILLE RD,CSX Transportation,Q40124 STRUCK A VEHICLE STUCK ON THE CROSSING. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS). AGE OF DRIVER UNKNOWN.
24/01/16 18:05,"LAKE CHARLES, LOUISIANA",RYAN STREET,Union Pacific Railroad Company,"VEHICLE RACED UP TO THE CROSSING, STARTED TO SLOW DOWN BUT THEN DROVE AROUND THE LOWERED GATE OVER THE CROSSING."
24/01/16 12:55,"LUTCHER, LOUISIANA",MEARS RD.,Illinois Central Railroad Company,MOTORIST FAILED TO YIELD FOR THE ONCOMING TRAIN AT THE MEARS ROAD CROSSING AND STRUCK THE LEAD LOCOMOTIVE. ALL WARNINGS DEVICE WERE OPERATING AS INTENDED. MOTORIST TRANSPORTED FOR MINOR INJURIES. 3/07/16 CONSIST SPEED WAS VERIFIED BY RAILROAD.
24/01/16 9:14,"BOWLING GREEN, KENTUCKY",FOURTEENTH STREET,CSX Transportation,"HIGHWAY USER SLID INTO THE SIDE OF LEAD LOCOMOTIVE OF Q22021. DRIVER OF VEHICLE EXITED THE VEHICLE AND FLED THE SCENE. PROTECTION AT CROSSING ALSO INCLUDE: ADVANCE WARNING, STOP LINES AND RRX SYMBOL."
24/01/16 9:09,"STAMFORD, CONNECTICUT",RIVERBEND DRIVE S,Metro North Commuter Railroad Company,"VEHICLE OPERATOR WAS PLOWING OVER CROSSING. VEHICLE BECAME STUCK WHEN PUSING SNOW INTO PILES VEHICLE OPERATOR ATTEMPTED TO FREE VEHIVLE. NO EMEGENCY CALL MADE BY VEHICLE OPERATOR, AND ESCAPED VEHICLEPRIOR TO IMPACT."
23/01/16 13:10,"OAKLAND, CALIFORNIA",37TH AVENUE,Union Pacific Railroad Company,VEHICLE STOPPED ON CROSSING PRIOR TO THE GATES DESCENDING.
23/01/16 12:40,TEXAS,JOHNSON LANE,Union Pacific Railroad Company,SEMI TRUCK FAILED TO STOP PRIOR TO CROSSING OVER THE TRACKS.
23/01/16 9:22,"DAVENPORT, IOWA",MARQUETTE ST,Iowa Interstate Railroad,"CBBI-22 WAS TRAVELLING EAST THROUGH DAVENPORT, IA WHEN A MOTOR VEHICLE FAILED TO YIELD TO TRAIN ANDSTRUCK THE SIDE OF THE LEAD LOCOMOTIVE. DRIVER WAS TICKETED."
23/01/16 1:21,"HUMBLE, TEXAS",MT. HOUSTON ROAD,Union Pacific Railroad Company,JUST PRIOR TO TRAIN OCCUPYING THE CROSSING A VEHICLE DROVE AROUND A STOPPED VEHICLE AND AROUND THE WARNING GATES AND WAS STRUCK.
22/01/16 19:12,"MARSTON, MISSOURI",ELM ST,BNSF Railway Company,DRIVER AGE UNKNOWN 41: UNOCCUPIED VEHICLE
22/01/16 16:25,"SAN DIEGO, CALIFORNIA",COMMERCIAL,San Diego Trolley Incorporated,AN AUTOMOBILE TRAVELING SOUTH ON 30TH STREET RAN THE RED LIGHT AT THE COMMERCIAL STREET INTERSECTION AND MADE CONTACT WITH WESTBOUND TRAIN #55.
22/01/16 15:30,"WESLEY, IOWA",EAST/HWY R14,Canadian Pacific Railway Company,B40 WAS TRAVELING EAST BOUND ON THE SHELDON SUB AND IMPACTED A VEHICLE AT MP 157.27 (EAST STREET) CROSSING THAT FAILED TO STOP. CROSSING WARNING INCLUDES STOP & CROSS BUCK SIGNS.
22/01/16 13:55,"CORONA, CALIFORNIA",MCKINLEY ST,BNSF Railway Company,41: WALKED AROUND GATE
22/01/16 13:36,"MIDDLETOWN, OHIO",SR 122/FIRST ST,Norfolk Southern Corporation,NS TRAIN 27KLC20 STRUCK A HWY-USER (PEDESTRIAN) AT A HWY-GRADE CROSSING.
22/01/16 12:35,"RICHMOND, VIRGINIA",WEST VIEW ROAD,CSX Transportation,Q13522 STRUCK AN ABANDONED AUTO WITH NO ONE IN OR AROUND IT.
22/01/16 11:31,"LAPLACE, LOUISIANA","LA 3223, ELM STREET",Kansas City Southern Railway Company,A HI-RAIL VEHICLE WAS TRAVELING DOWN THE TRACKS TO A CROSSING. THE GATES DID NOT LOWER. THE HI-RAIL STRUCK ONE VEHICLE AND A SECOND VEHICLE STRUCK THE SIDE OF THE HI-RAIL FROM THE OPPOSITE DIRECTION. THE DRIVERS OF BOTH VEHICLES CLAIMED INJURIES.
22/01/16 11:30,"LAPLACE, LOUISIANA","LA 3223, ELM STREET",Kansas City Southern Railway Company,A HI-RAIL VEHICLE WAS TRAVELING DOWN THE TRACKS TO A CROSSING. THE GATES DID NOT LOWER. THE HI-RAIL STRUCK ONE VEHICLE AND A SECOND VEHICLE STRUCK THE SIDE OF THE HI-RAIL FROM THE OPPOSITE DIRECTION. THE DRIVERS OF BOTH VEHICLES CLAIMED INJURIES.
22/01/16 3:30,"BUFORD, GEORGIA",S-2347/LTL MILL / CH,Norfolk Southern Corporation,NS TRAIN P12P421 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S AGE UNKNOWN.
21/01/16 23:15,"BIRMINGHAM, ALABAMA",ANN DRIVE EAST,CSX Transportation,"M71821 CREW NOTICED A VEHICLE FOULING THE TRACK WITH A LADY STANDING OUTSIDE THE VEHICLE. THE CREW STARTED BLOWING THE TRAIN HORN ATTEMPTING TO WARN THE LADY TO GET CLEAR OF THE TRACKS. THE ENGINEER SET THE TRAIN INTO EMERGENCY, BUT WAS UNABLE TO STOP, STRIKING THE VEHICLE WITH THE ENGINEERS SIDE OF THE ENGINE. THERE WAS NO ONE OCCUPYING THE VEHICLE AT IMPACT. THE RAIL TIES AT THE ROAD CROSSING WAS BEING REPLACED AND THE ASPHALT OF THE CROSSING HAD BEEN REMOVED. THE CROSSING WAS BARRICADED, PROH"
21/01/16 20:39,"RAMONA, KANSAS",ROUTE 195,Union Pacific Railroad Company,VEHICLE COULD NOT STOP DUE TO ICY CONDITIONS OF THE ROAD. HE SLID THROUGH THE ACTIVATED GATES.
21/01/16 17:18,"OGDEN, ARKANSAS",PINE STREET,Kansas City Southern Railway Company,AS THE TRAIN APPROACHED THE CROSSING A VEHICLE SLOWED AND THEN PROCEEDED BEFORE BEING STRUCK BY THE TRAIN. TWO FATALITIES REPORTED.
21/01/16 14:30,"ARLINGTON HTS, ILLINOIS",EUCLID AVE.,Union Pacific Metra,VEHICLE WENT THROUGH THE GATES.
21/01/16 13:40,PENNSYLVANIA,HUNTLEY ROAD,Bessemer & Lake Erie Railroad Company,SNOWPLOW TRUCK BACKED ONTO THE HUNTLEY ROAD CROSSING INTO THE PATH OF THE ONCOMING TRAIN. TRAIN STRUCK THE SALT SPREADER ON THE REAR OF THE TRUCK. NO INJURIES WERE REPORTED.
21/01/16 8:04,"SAVANNAH, GEORGIA",TREMONT ROAD,CSX Transportation,TRESPASSER ON A BICYCLE WAS TRAVELING DOWN TREMONT ROAD SOUTHBOUND IN RELATION TO THE TRACK. HE CROSSED IN FRONT OF Q10118 WHO WAS ENGINE LITE WITH 2 ENGINES. THE FRONT LEFT OF LEAD ENGINE CSXT 868 STRUCK THE REAR WHEEL OF THE BICYCLE AS HE CROSSED.
21/01/16 6:35,NEW YORK,LITTLE EAST NECK ROA,Long Island Rail Road,LATE MODEL NISSAN SEDAN WAS STRUCK BY WESTBOUND LIRR EMU 2011. VEHICLE BECAME DISABLED AT THE CROSSING WHILE STILL OCCUPYING THE GRADE CROSSING AND WAS ABANDONED WHILE FOULING THE TRACKS.
20/01/16 22:20,TEXAS,PRIVATE,BNSF Railway Company,DRIVER EXITED VEHICLE PRIOR TO IMPACT. PASSENGER STILL IN VEHICLE.
20/01/16 14:15,MINNESOTA,PRIVATE,BNSF Railway Company,
20/01/16 10:42,"SOUTH BOARDMAN, MICHIGAN",TRAVERSE ST/BOARDMAN,Great Lakes Central Railroad,IN QUESTION 32 THE OTHER IS YIELD SIGN
20/01/16 10:27,"BOISE, IDAHO",MILWAUKEE,"Boise Valley Railroad, Inc.","TRAIN MOVING EAST ON SINGLE MAIN TRACK APPROACHING MILWAUKEE CROSSING,BLOWING HORN FOR CROSSING ANDCROSSING WAS ACTIVATED. CAR STOPPED BEHIND CAR IN FRONT OF THEM THAT STOPPED FOR TRAIN,BUT WENT AROUND BECAUSE CAR WANTED THE OUTSIDE LEFT TURN LANE. WHEN GOING AROUND,THE CAR STOPPED ON THE TRACKS AND SAW THE TRAIN. THE DRIVER TRIED TO PUT IN REVERSE BUT WAS STRUCK BY TRAIN. ENGINEER SAW CAR STOPPED ON TRACKS AND PUT TRAIN INTO EMERGENCY. DRIVER SAID CAR VISOR BLOCKED HER VISION OF XING SIGNALS."
20/01/16 9:38,"MOUNTAIN IRON, MINNESOTA",KANE RD VOSS RD,Wisconsin Central Ltd. (also Railway),SEMI-TRUCK FAILED TO STOP FOR THE ACTIVATED WARNING DEVICES AT THE KANE ROAD CROSSING AND WAS STRUCK BY THE ONCOMING TRAIN. NO INJURIES WERE REPORTED.
20/01/16 7:30,"CHICAGO, ILLINOIS",87TH AND PULASKI,Northeast IL Regional Commuter Rail Corp.(METRA),"TRAIN #808 WAS TRAVELING EASTBOUND ON MAIN TRACK #1 WHEN THE ENGINEER NOTICED A VEHICLE SITTING IN THE FOUL. ENGINEER PUT THE TRAIN INTO EMERGENCY, BUT STRUCK THE VEHICLE THAT WAS IN THE FOUL. THERE WERE 1161 PEOPLE INCLUDING THE CREW ON THE TRAIN."
19/01/16 17:34,"MECCA, CALIFORNIA",HIGHWAY 111 & CLEVEL,Union Pacific Railroad Company,VEHICLE WAS STOPPED ON THE CROSSING. HOWEVER THE PERSON EXITED HIS VEHICLE AND HANDCUFFED HIMSELF TO THE HANDLE OF THE VEHICLE DOOR PRIOR TO THE TRAIN HITTING THE CAR.
19/01/16 16:22,"N/A, PENNSYLVANIA",T452/LIGHTHOUSE RD,Norfolk Southern Corporation,NS TRAIN 13RH119 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
19/01/16 14:37,"CATAWBA, SOUTH CAROLINA",CURETON FERRY RD.,CSX Transportation,F76219 IMPACTED A BROWN SUV THAT DISREGARDED CROSSING GATES. VEHICLE LEFT THE SCENE. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).
19/01/16 9:04,"ELIZABETH, PENNSYLVANIA",CHICAGO STREET,CSX Transportation,N77017 STRUCK A 2015 SILVER DODGE RAM PICKUP TRUCK STOPPED ON CROSSING. PROTECTION ALSO AT CROSSING: PAVEMENT MARKINGS (STOP LINES).
19/01/16 7:30,"N/A, NORTH CAROLINA",US 70B/VERNON AVE.,Norfolk Southern Corporation,NS TRAIN E51P519 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
19/01/16 6:38,"HOUSTON, TEXAS",LONG DR,Union Pacific Railroad Company,
18/01/16 21:30,NEW MEXICO,EDITH BLVD,BNSF Railway Company,
18/01/16 18:13,"ONTARIO, CALIFORNIA",ARCHIBALD AVENUE,Southern California Regional Rail Authority,TRAIN 404 STRUCK A BIG-RIG AT THE ARCHIBALD AVENUE GRADE CROSSING. DRIVER REALIZED HE WAS ON THE TRACKS AND ATTEMPTED TO BACK-UP BUT DID NOT HAVE ENOUGH TIME. DRIVER FLED THE SCENE FOLLOWING THE ACCIDENT. AGE UNKNOWN.
18/01/16 16:52,ILLINOIS,W. BROADWAY ST,Amtrak (National Railroad Passenger Corporation),"TRAIN 392 OPERATING WITH LOCOMOTIVE E/74 AND 7 CARS STRUCK THE REAR BUMPER OF AN OCCUPIED VEHICLE AT MP 273.71, WEST BROADWAY ST CROSSING. THERE WAS NO EQUIPMENT DAMAGE. AGE OF THE DRIVER COULD NOTBE DETERMINED."
18/01/16 13:45,"SAN DIEGO, CALIFORNIA",HAWTHORNE ST,Amtrak (National Railroad Passenger Corporation),"TRAIN 579 OPERATING WITH CAB CAR 6908, 6 CARS AND LOCOMOTIVE E/457 TRAILING, STRUCK AN OCCUPIED SUVAT MP 266.90, HAWTHORN ST CROSSING. THE DRIVER GOT IMPATIENT AND TRIED TO BEAT THE CROSSING ARMS AND WAS STOPPED IN THE TRAFFIC IN FRONT OF HIM. AMTRAKS EQUIPMENT DAMAGE IS $2,000.00. THE AGE OF THE DRIVER WAS NOT AVAILABLE."
18/01/16 10:29,"WAVELAND, MISSISSIPPI",CLERMONT HARBOR R,CSX Transportation,Q61915 STRUCK A CAMPER TRAILER THAT GOT HUNG ON CROSSING AND GOT DISCONNECTED FROM THE TRUCK. PROTECTION ALSO AT CROSSING: PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS). CAMPER
18/01/16 9:50,"MALIN, OREGON",STATE LINE RD,BNSF Railway Company,
18/01/16 8:30,"SANFORD, NORTH CAROLINA",CHISHOLM ST,CSX Transportation,TRW201102 WAS TRAVERSING CROSSING WITH GATES DOWN WHEN AN OSP VEHICLE CAME AROUND THE GATES AND WASSTRUCK ON THE RIGHT FRONT TIRE BY THE OTE. NO INJURIES RESULTED FROM THIS INCIDENT. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (RR XING SYMBOLS). TRIPP MACHINE
18/01/16 8:01,"DONALD, OREGON",PRIVATE,"Portland & Western Railroad, Inc.",A TRAIN CREW TRAVELING EASTBOUND SAW A SEMI-TRUCK TRAILER FAILED TO STOP AT THE PRIVATE CROSSING. THE ENGINEER SOUND THE WHISTLE AND BELL TO PROVIDE ADEQUATE WARNING. AS A RESULT THE TRAIN STRUCK THEREAR PORTION OF THE TRUCK'S TRAILER AFTER THE ENGINEER PLACED THE TRAIN IN EMERGENCY.
18/01/16 7:30,"JANESVILLE, WISCONSIN",HWY 14 AND KENNEDY,"Wisconsin & Southern Railroad, L.L.C.",WSOR HI RAIL 1123 WERE IN PROCESS OF INSPECTING MADISON SUBDIVISION WHEN THEY APPROACHED HWY 14 ANDKENNEDY ROAD GRADE CROSSING AND STOPPED ON SOUTH SIDE OF CROSSING TO MAKE SURE TRAFFIC WAS STOPPED.AFTER TRAFFIC PASSED. CREW MOVED HIRAIL INTO THE MEDIAN. CHECKED TRAFFIC AGAIN SO NO ONE AND PROCEEDED. THEN THEY HIT CAR IN DRIVERS SIDE. DRIVER HIRAIL WAS ISSUED CITATION FOR FAILURE TO YIELD.
17/01/16 17:17,"GLEN COVE, NEW YORK",ELM STREET,Long Island Rail Road,TRAIN 5159 STRUCK A TRESPASSER ON OYSTER BAY TRACK 1 AT ELM AVENUE CROSSING.
17/01/16 1:24,"WINONA, MINNESOTA",HUFF STREET,Canadian Pacific Railway Company,"198-13 PROCEEDING EAST THROUGH WINONA STRUCK AND KILLED TRESPASSER THAT ATTEMPTED TO CROSS IN FRONTOF TRAIN. INDIVIDUAL WAS OBSERVED RUNNING ON THE SIDEWALK (PARALLEL TO THE CROSSING ON THE SOUTHWEST SIDE) AFTER THE CROSSING GATES CAME DOWN. CROSSING GATES WERE DOWN FOR VEHICLE TRAFFIC, BUT DO NOT BLOCK THE SIDEWALK. HE TRIPPED & FELL AS HE NEARED THE CLOSEST RAIL. WHILE GETTING UP AND ATTEMPTING TO MOVE OVER OUT OF THE WAY HE WAS STRUCK. CROSSING WARNING INCLUDES GATES, LIGHTS, BELLS, CROSS B"
16/01/16 18:54,"N/A, GEORGIA",CR 44/LANIER AVE.,Norfolk Southern Corporation,NS TRAIN 41WP416 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S INFORMATION UNKNOWN.
16/01/16 15:18,TEXAS,CR-115,Union Pacific Railroad Company,A FARM TRACTOR WITH FORKS SCRATCHED THE SIDE OF A LOCOMOTIVE ON THE CROSSING. #32 WARNING DEVICES:YIELD SIGN
16/01/16 8:15,"ALLIANCE, NEBRASKA",RRYARD,BNSF Railway Company,DRIVER AGE UNKNOWN
16/01/16 0:25,"FAYETTEVILLE, NORTH CAROLINA",HAY,Amtrak (National Railroad Passenger Corporation),TRAIN 98 STRUCK AN OCCUPIED VEHICLE AT CROSSING
15/01/16 17:55,"JACKSON, GEORGIA",SR16/3RD ST. SR16,Norfolk Southern Corporation,NS TRAIN 737G215 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
15/01/16 12:03,"ALVARADO, TEXAS",CR 319,Union Pacific Railroad Company,SEMI TRUCK WAS HIGH CENTERED ON THE CROSSING PRIOR TO THE GATES DESCENDING.
15/01/16 10:30,"N/A, INDIANA",CR-19/TROY ROAD,Norfolk Southern Corporation,NS TRAIN L42L915 WAS STRUCK BY A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S AGE UNKNOWN.
15/01/16 9:50,IDAHO,RIVER DOCK RD,Union Pacific Railroad Company,"HIGHWAY USER COULD NOT STOP AS THE ROAD CONDITIONS WERE ICY, AND STRUCK THE LOCOMOTIVE."
15/01/16 3:55,"N/A, SOUTH CAROLINA",S-630/CAMPBELL THIC.,Norfolk Southern Corporation,NS TRAIN 338P914 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S AGE UNKNOWN.
14/01/16 22:57,"CHARLOTTE, NORTH CAROLINA",NORTH DAVIDSON STREE,CSX Transportation,"THE CREW OF G72709 WAS STOPPED AT THE DIAMOND FOR 20 TO 25 MINUTES WAITING FOR AN NS TRAIN TO CLEAR. WHEN THEY GOT A SIGNAL, THEY PROCEEDED TOWARD PINOCA YARD AND WERE CONTACTED BY THE DISPATCHER ANDASKED IF THEY HAD STRUCK A VEHICLE. THE CREW REPLIED THEY HAD NOT STRUCK A VEHICLE OR OBSERVED ANYTHING OUT OF THE ORDINARY WHEN PASSING THAT MILEPOST. A SHORT TIME LATER, THE DISPATCHER CONTACTED THE CREW AND INSTRUCTED THEM TO BRING THEIR TRAIN TO A STOP AND PERFORM A WALKING INSPECTION OF THE TRA"
14/01/16 18:57,"JACKSONVILLE, FLORIDA",TIMUQUANA RD,Amtrak (National Railroad Passenger Corporation),"AUTO TRAIN 52 OPERATING WITH LOCOMOTIVES E/835-E/814 AND 47 CARS STRUCK AN OCCUPIED VEHICLE AT MP A651.29, TIMUQUANA RD CROSSING. AMTRAKS EQUIPMENT DAMAGE IS $16,744.00."
14/01/16 16:32,TEXAS,*PRIVATE,Amtrak (National Railroad Passenger Corporation),"TRAIN 22 OPERATING WITH LOCOMOTIVE E/90 AND 9 CARS STRUCK AN OCCUPIED 18-WHEELER TRACTOR-TRAILER ATMP 198.08, A PRIVATE CROSSING."
14/01/16 13:32,"ELGIN, ILLINOIS",KIMBALL STREET,Northeast IL Regional Commuter Rail Corp.(METRA),SUBJECT WALKED AROUND THE DOWN ACTIVATED GATES AS TRAIN #2238 WAS APPROACHING AND WAS FATALLY STRUCK.
14/01/16 5:45,"INDIANAPOLIS, INDIANA",MINNESOTA ST.,CSX Transportation,Y33513 TRAVELING EAST STRUCK VEHICLE AT CROSSING THAT FAILED TO STOP. AGE AND GENDER OF DRIVER UNKNOWN. PROTECTION ALSO AT CROSSING: ADVANCE WARNING DEVICE.
13/01/16 19:04,"BRYAN, TEXAS",WEST DODGE STREET,Union Pacific Railroad Company,"VEHICLE WENT UNDER THE GATES, STOPPED AND THEN TRIED TO REVERSE TO BACK OFF THE CROSSING PRIOR TO IMPACT. HIGHWAY USER'S ACTIONS: WENT THROUGH THE GATE - MOVING"
13/01/16 18:55,"MEDFORD, MASSACHUSETTS",HIGH ST,Massachusettes Bay Transit Authority,REPORT ENTERED LATE INTO SYSTEM. MBTA BUS STUCK ON TRACKS GATE CAME DOWN ON BUS. TRAIN UNABLE TO STOP AND STRUCK THE BUS. DAMAGES TO THE BUS $6873.00 DAMAGE TO TRAIN $2224.
13/01/16 9:20,"COLLIERVILLE, TENNESSEE",FAS8212/HOUSTON LEVE,Norfolk Southern Corporation,NS TRAIN 734AB13 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
13/01/16 8:47,"BROOTEN, MINNESOTA",493RD AVE,Canadian Pacific Railway Company,"292-11 OPERATING EAST ON THE PAYNESVILLE SUB WHEN A SNOW PLOW (TRAVELING SOUTH) STRUCK THE CONDUCTORS SIDE OF THE LOCOMOTIVE AT THE 493RD CROSSING , NEAR BROOTEN, MINNESOTA. CREW INDICATED THE SNOWPLOW DRIVER DID NOT APPEAR TO SLOW FOR THE CROSSING WHICH IS PROTECTED WITH YIELD SIGNS AND CROSS BUCKS. DRIVER TRANSPORTED VIA AMBULANCE WITH NON-LIFE THREATENING INJURIES. BOTH TRAIN CREW MEMBERS ALSO SOUGHT MEDICAL. AS A RESULT THE IMPACT THE LEAD CAR DERAILED A-END, R-1 WHEEL, TRAVELED APPROXIMATE"
13/01/16 5:55,"HEBER, CALIFORNIA",EAST MAIN STREET,Union Pacific Railroad Company,VEHICLE DID NOT STOP AND COLLIDED WITH A RAIL CAR.
12/01/16 18:38,"N/A, OHIO",CORDUROY RD,Norfolk Southern Corporation,NS TRAIN BO18 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
12/01/16 17:27,"ODESSA, TEXAS",DIXIE BLVD,Union Pacific Railroad Company,HIGHWAY USER WENT AROUND THE GATES.
12/01/16 16:31,"JOHNSTON, SOUTH CAROLINA",S 104/MCQUEEN ST,Norfolk Southern Corporation,NS T&S BALLAST REGULATOR STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S AGE VERIFIED.
12/01/16 13:15,"NEWTON, IOWA",WEST 4TH ST NORTH,Iowa Interstate Railroad,DRIVER ATTEMPTED TO STOP BUT FAILED TO STOP AT CROSSING IN TIME. HIS VEHICLE PUSHED THROUGH THE GATE AND FRONT OF PICK-UP WAS STRUCK BY TRAIN WHICH PUSHED PICK-UP INTO CROSSING SIGNAL.
12/01/16 12:35,"BRADNER, OHIO",US6,CSX Transportation,Q29912 WAS STRUCK BY A EASTBOUND TRACTOR-TRAILER. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).
12/01/16 12:20,"CUCAMONGA, CALIFORNIA",VINEYARD AVENUE,Southern California Regional Rail Authority,"DRIVER ACCIDENTALLY MADE A LEFT-HAND TURN ONTO THE SOUTH BOUND LANE ON VINEYARD AVENUE. SEEING THEGATE WAS DOWN AND REALIZING SHE WAS IN THE WRONG LANE, SHE DROVE AROUND THE ISLAND INTO THE NORTH BOUND LANE AND WAS STRUCK BY TRAIN 308. CREW DID NOT SEE HER, NOR DOES IT APPEAR ON VIDEO. AGE UNKNOWN."
12/01/16 9:56,NORTH DAKOTA,WARD CR13,BNSF Railway Company,
